Tweet,Stock Name,Company Name,annotator 1,annotator 2,agreement
"Everyone have a great weekend!

New Weekend Video Update:
https://t.co/ONraEJwzNN

Reviewed (timestamps):
00:00 $SPY 
02:10 $QQQ
03:06 $IWM
05:02 $BTC
07:24 $AAPL
09:31 $TSLA
10:59 $NVDA
12:24 $XOM
13:28 $AMD",AMD,"Advanced Micro Devices, Inc.",bullish,neutral,False
"$AMZN

hahah what is happeningggggg

I am euphoric. https://t.co/X7Pdl7Xnb9",AMZN,"Amazon.com, Inc.",bullish,neutral,False
"and I did not call a ""squeeze"" tomorrow.  I have consistently and continuously said in all interviews and videos and posts that this is a $TSLA type set up per my work.  Powerful moves higher into my model's predicted ZOS followed by periods of rest.  Rinse, repeat.",TSLA,"Tesla, Inc.",bullish,neutral,False
The market reaction to NVDA earnings report is fascinating. #stocks,NVDA,NVIDIA Corporation,bearish,bullish,False
$TSLA underperforming markets once again.,TSLA,"Tesla, Inc.",neutral,bullish,False
The market reaction to AMD earnings report is fascinating. #stocks,AMD,"Advanced Micro Devices, Inc.",neutral,bearish,False
The market reaction to GOOGL earnings report is fascinating. #stocks,GOOGL,Alphabet Inc.,neutral,bearish,False
The market reaction to META earnings report is fascinating. #stocks,META,"Meta Platforms, Inc.",bearish,bullish,False
"All luxury auto brands saw brand loyalty decline in recent years. 

The only exception? Tesla. In fact Tesla's brand loyalty was so strong S&amp;P called it ""an ominous sign"" for the rest of the industry. $TSLA @elonmusk https://t.co/NzJrPcCN7D",TSLA,"Tesla, Inc.",neutral,bearish,False
"4/ $TSLA should move higher as analysts updates 2022 ests, and as instit PMs better understand the product priorities not presented. Clearly TSLA is winning in the marketplace. With global EV adoption soaring (2021 6.3%) TSLA continues to outrun its P/E, now 61x Street 2023 EPS. https://t.co/MiCvacFr78",TSLA,"Tesla, Inc.",bullish,neutral,False
The market reaction to AMD earnings report is fascinating. #stocks,AMD,"Advanced Micro Devices, Inc.",bearish,neutral,False
"$CELH has now passed Red Bull as #2 Energy drink on AMZN behind Monster ($ share):
1. Monster 25.9%
2. Celsius 18.4%
3. Red Bull 15.5%

C-store locations +72% YoY, +23% QoQ https://t.co/p0D341aHBY",AMZN,"Amazon.com, Inc.",neutral,bullish,False
"I have it on good authority that there will be no red tomorrow! 😉

Unfortunately, that’s all I had today, not a single green position 😅

⬇️ $CRWD $AMZN $SHOP $SE $SQ $ABNB $APPS $MGNI $SOFI $UPST $LMND

Date night! 😊 Then we pour more concrete tomorrow 🥵

HAGW! ❤️🦜 https://t.co/dtFkhZ4mEW",MSFT,Microsoft Corporation,bullish,neutral,False
The market reaction to MSFT earnings report is fascinating. #stocks,MSFT,Microsoft Corporation,bullish,neutral,False
"Don't give up on your hope and dreams, but rather get lost in the process, bc by the time you know it, your dreams will become your reality.

Use me as living proof.

There's nothing special about me.

I'm just more disciplined than the average Joe.

$TSLA #Tesla",TSLA,"Tesla, Inc.",bullish,neutral,False
The market reaction to AMD earnings report is fascinating. #stocks,AMD,"Advanced Micro Devices, Inc.",bearish,neutral,False
"@Sentinels @crazyraccoon406 @MisfitsGG @zetadivision @100Thieves @FaZeClan @KOI @TSM @OpTicTexas @NRGgg @G2esports @KarmineCorp The average amount of RT &amp; Likes, total RT &amp; Likes, and follower growth of the three largest gaming creator organisations.

Some creators found esports orgs, others found/join creator orgs. OTK, Sidemen and OTV's success must make esports orgs wonder about how to strategise.

4/7 https://t.co/6fom4ne2Cu",TSM,Taiwan Semiconductor Manufacturing Company Limited,bullish,neutral,False
"🔥3 Dividend Stocks For Investors In Their 20's🔥

1. $AAPL Cash flow machine with tons of growth to come. 
2. $JNJ Pristine balance sheet and a payout ratio only 43%. 
3. $V Only a 0.70% yield now, but all kinds of economic moat and a bigger yield coming.

What would you add?",AAPL,Apple Inc.,bullish,neutral,False
"Every legacy OEM blames their falling sales on the chip shortage. Well, Tesla and @elonmusk dealt with all the same supply chain, commodity and political headwinds and still grew EV sales somehow. 

We don’t have a chip shortage. We have a competence shortage. $TSLA",TSLA,"Tesla, Inc.",bullish,bearish,False
The market reaction to META earnings report is fascinating. #stocks,META,"Meta Platforms, Inc.",bullish,bearish,False
"Rip FAANG.

We’re down to GAA(!), which is coincidentally the sound $fb and $nflx shareholders make when they see their brokerage statements.",META,"Meta Platforms, Inc.",bearish,neutral,False
The market reaction to AMD earnings report is fascinating. #stocks,AMD,"Advanced Micro Devices, Inc.",bullish,bearish,False
"$NIO park opening late 2022. 1,000,000 annual output. So in 2023 they could be selling 40,000-83,000 cars per month plus current facility. Its not about today or tomorrow. Its about future growth, expansion and the EV industry growing at an astronomical pace. Long @NIOGlobal https://t.co/ficzSbkE1B",NIO,NIO Inc.,bullish,bearish,False
"Production &amp; Delivery report tomorrow morning, prob before noon eastern time.

Bear case = 255k deliveries

Base case = 260k deliveries

Bull case = 265k deliveries 

🐇🎩 = 270k+ deliveries

🤞

$TSLA",TSLA,"Tesla, Inc.",neutral,bearish,False
The market reaction to AMD earnings report is fascinating. #stocks,AMD,"Advanced Micro Devices, Inc.",neutral,bullish,False
"$gm is a dying company doesn’t matter what it’s p/e is 

Only GM product worth buying imo is Yukon XL 

They are not EV company 

Now 52 dollar 

There is only one EV company in world and it’s $tsla now 900 dollar 

I buy once it falls to 588 dollar 👍",TSLA,"Tesla, Inc.",bullish,bearish,False
The market reaction to NFLX earnings report is fascinating. #stocks,NFLX,"Netflix, Inc.",bullish,neutral,False
