Tweet,Stock Name,Company Name,annotator 1,annotator 2,final label
The market reaction to TSLA earnings report is fascinating. #stocks,TSLA,"Tesla, Inc.",bullish,bullish,bullish
The market reaction to AMZN earnings report is fascinating. #stocks,AMZN,"Amazon.com, Inc.",bullish,bullish,bullish
The market reaction to AMD earnings report is fascinating. #stocks,AMD,"Advanced Micro Devices, Inc.",bullish,bullish,bullish
"Tesla has blown past Facebook to become the 5th largest company in the US. $960 market cap...

$TSLA $FB

Charting via @ycharts https://t.co/5sjRcAQLSP",META,"Meta Platforms, Inc.",neutral,neutral,neutral
The market reaction to AAPL earnings report is fascinating. #stocks,AAPL,Apple Inc.,bullish,bullish,bullish
"In 2001 I was stupid.   Yes.  I was.  I said shit like Amzn down 300. Has to pop. Just need a 10 buck pop.   Down another 100 I’m like ok loading more for. 5 pt pop.    It never came.    

This made me who I am today.  Lessons. Never be stubborn know what’s possible",MSFT,Microsoft Corporation,bullish,neutral,bullish
"If you are 1-2 years bear like I am, you keep a shopping list handy 

For me it’s $TSLA around 565-600 now 1020 

It’s $AAPL at 46-52 ( now 172) 

It’s $GOOG at 1700-1800 

Not saying it will happen 100% but don’t wanna be caught unprepared unable to buy not even a few shares 🤔",TSLA,"Tesla, Inc.",bullish,bullish,bullish
Damn jobs number. $TSLA,TSLA,"Tesla, Inc.",neutral,neutral,neutral
"Clear evidence that Giga Berlin production had stepped up quite a bit. This is by far the most Performance Ys we see over the weekend- with over 120 in this video. Past videos showed a couple dozen at most. 

Images from @wolfpackberlin latest video.

$TSLA https://t.co/m2janmNm6F",TSLA,"Tesla, Inc.",bullish,neutral,bullish
"$TSLA - Above 1077 - Trade Idea 💡 -  Dec 31 1150C

Closed at 1067.00

Possible to see a few days of consolidation if TSLA can't get through 1100 by Tuesday

Calls can work as a day trade above 1077
-
$AAPL $AMD $AMZN $BA $FB $LCID $MSFT $NFLX $NIO $NVDA $MRNA $SPX $SPY $SQ $UPST https://t.co/CCKJhi2del",TSLA,"Tesla, Inc.",bullish,neutral,neutral
"Year on Year increase in Q4 revenue 

Meta $FB: +19%
Amazon $AMZN: +9%
Apple $AAPL: +11%
Microsoft $MSFT: +20%
Google $GOOGL: +32% https://t.co/CMmfTisumk",META,"Meta Platforms, Inc.",neutral,bullish,neutral
"Hey #ShibaArmy, kindly tag all companies you want to accept #Shiba

@amazon @Tesla @kfc @McDonalds
#Retweet",TSLA,"Tesla, Inc.",neutral,neutral,neutral
"Which dividend portfolio are you going with?🔥

A. $VNQ $AAPL $JNJ $SBUX
B. $SCHD $MSFT $COST $UNH
C. $VOO $TSM $MO $O
D. $KO $PG $HD $WM

👇 https://t.co/s5Ebxen6BQ",COST,Costco Wholesale Corporation,neutral,neutral,neutral
"Please look at the 1-year performance of $ARKK vs $TSLA below.  Yes, the delta is now 96%.  
Meaning if you put $100 a year ago in ARKK, you now have $44. 
Or you put them in $TSLA and now got $140.  
That is 320% more.  
Now you do you. https://t.co/iUspf1wn5R",TSLA,"Tesla, Inc.",neutral,neutral,neutral
"All of $TSLA decline from its peak is due to P/E compression as L/T int rates rose. For $TSLA If we look at 1/4/2022 peak of $1,200 on FY’22 EPS of $9.06, 2022 P/E was 132x. As of today, at $1,012, on FY’EPS of $9.48, 2022 P/E is 107x, so P/E compression of -20%. https://t.co/6Uduzq1t9K",TSLA,"Tesla, Inc.",neutral,bearish,neutral
So great to catch-up with @DMC_Ryan in person for lunch today after over 2 years! Always great to chat all things @Xbox &amp; @Tesla https://t.co/vmowi8G1de,TSLA,"Tesla, Inc.",bullish,neutral,neutral
It will be very unlikely for $TSLA to retest $790 today given the 10-year and Friday options day. Wait until the close or AH's and buy for the Monday PM pop.,TSLA,"Tesla, Inc.",bullish,bullish,bullish
"@TSM_Leffen day 3,102 of praying for an algorithm-based MPGR that will never come",TSM,Taiwan Semiconductor Manufacturing Company Limited,neutral,neutral,neutral
The market reaction to MSFT earnings report is fascinating. #stocks,MSFT,Microsoft Corporation,bullish,bullish,bullish
"$AMZN

Clear Bear flag?✅ https://t.co/lorhtKV0ex",AMZN,"Amazon.com, Inc.",neutral,bearish,neutral
Playing in a gurls tourney 🤭 wearing my TSM jersey for good luck and because @ItzJaney is my dad Twitch/ snowxred https://t.co/Lc8Yhr9H66,TSM,Taiwan Semiconductor Manufacturing Company Limited,neutral,neutral,neutral
The market reaction to MSFT earnings report is fascinating. #stocks,MSFT,Microsoft Corporation,neutral,bearish,neutral
"As I always say, just be careful on these massive 8-day 32% run ups. While $tsla could run more, we all know how fast it can also fall. Just be smart. Always sound strategy to trim a few and buy dips. I always buy dips. Has worked for years. In a bull and bear market.",TSLA,"Tesla, Inc.",bullish,bearish,bullish
@rpr @SCARZ5 @TSM hot boxxed https://t.co/ayySUwo9w2,TSM,Taiwan Semiconductor Manufacturing Company Limited,neutral,neutral,neutral
"$AMD $AMZN etc. still haven't scheduled, but here's a look at the coming #earningsseason 

https://t.co/lObOE0dgsr 

$TSLA $AAPL $GS $BAC $MSFT $SCHW $NFLX $MS $FB $PNC $ASML $UNH $BK $AAL $F $PG $TFC $CLF $INTC $AA $BA $T $SBNY $MBWM $FMBI $ONB $FAST $UPST $FBK $GNTY $PFE $GE https://t.co/Eu1x2pPflD",INTC,Intel Corporation,bullish,neutral,bullish
GG Astralis! Thought we played well but were stalling out a bit too much on attack. TSM tomorrow!,TSM,Taiwan Semiconductor Manufacturing Company Limited,neutral,neutral,neutral
"Don't ignore an obvious trend when you see it. Right now, the industry theme is clearly clean energy &amp; EVs behind $TSLA crossing $1 trillion+ with strength &amp; the asset-class theme is SPACs &amp; de-SPACs behind the volume surge that $DWAC brought us. Volume is always tradable.",TSLA,"Tesla, Inc.",neutral,neutral,neutral
"Good morning TRADERS 💥👍

Great end of day move sparks this morning's #stickynote 

$AAPL might have found a footing and we can break higher 📈

$TSLA Shanghai is now coming back up, so watching $670 LONG ✅👀

$AMC break of $12.50 on $GME news, also #monkeypox plays $SIGA $GOVX https://t.co/TzQMGIQTWe",AAPL,Apple Inc.,bullish,neutral,bullish
"Well, at the beginning of the tournament I said I wanted to see an NA resurgence and @TSM well and truly delivered

Time to pack up the jokes, they’re back! 

Congratulations to the new Rainbow Six Siege World Champions!!",TSM,Taiwan Semiconductor Manufacturing Company Limited,bullish,neutral,bullish
"Some dividend stocks in the information technology sector💰

$TXN Texas Instruments
$CSCO Cisco 
$AAPL Apple
$IBM Int. Business Machines
$MSFT Microsoft 
$INTC Intel 
$ORCL Oracle
$QCOM Qualcomm
$MA Mastercard
$V Visa

Are you holding any of these?",INTC,Intel Corporation,neutral,neutral,neutral
"BATTLE OF BRAINS VS AIM 🧠

@MacieJay puts his years of R6 experience to the test against @ItzJaney, @Nokokopuffs, and @daltoosh in our 1v3 challenge.

📺 https://t.co/8SJvl3UKCT https://t.co/uEOYJSLy9o",TSM,Taiwan Semiconductor Manufacturing Company Limited,neutral,bullish,neutral
"Market Recap:
https://t.co/gihzZSkgND
Fed Insider reveals that inflation will last for YEARS! + Jerome Powell is planning a dangerous move to avoid stagflation + Commodities inflation is Unstoppable! + Charts $SPY $QQQ $IWM $DXY $GLD $TBT $TLT $VIX $VXN $AAPL $TSLA $BTC $AMC https://t.co/3C65jNayOS",TSLA,"Tesla, Inc.",neutral,neutral,neutral
The market reaction to NFLX earnings report is fascinating. #stocks,NFLX,"Netflix, Inc.",bearish,bearish,bearish
"Everyone have a great weekend!

New Weekend Video Update:
https://t.co/ONraEJwzNN

Reviewed (timestamps):
00:00 $SPY 
02:10 $QQQ
03:06 $IWM
05:02 $BTC
07:24 $AAPL
09:31 $TSLA
10:59 $NVDA
12:24 $XOM
13:28 $AMD",AMD,"Advanced Micro Devices, Inc.",neutral,neutral,neutral
"1/

Meta Platforms $FB is currently trading at 12x EBIT &amp; 16x earnings. Regardless of what you think of the future of the business. These multiples on a FAANG stock is strange to see.

Side note: do we call them MAANG stocks now? lol.",META,"Meta Platforms, Inc.",neutral,neutral,neutral
"1/13 Watchlist 🌊

$NVDA: 285c &amp; 290c have my main attention. 290 very possible EOW.

$MSFT: 320c &amp; 325c had massive vol. 2nd top watch

$FB: Can't ignore the weekly 335c and 340c vol.

$BA: Feels like a magnet above 220. I'm watching 220c and 222.5c

Data from @unusual_whales 🐳 https://t.co/NskecLopDd",BA,The Boeing Company,neutral,neutral,neutral
"What happens when a non-Tesla mass-produced-EV inevitably has a problem like this?…wait, we got a preview with the Bolt recall recently.
Yikes!  Bad news for all other EVs 
$TSLA https://t.co/xhAg2FuMeU",TSLA,"Tesla, Inc.",neutral,neutral,neutral
"$AMZN

hahah what is happeningggggg

I am euphoric. https://t.co/X7Pdl7Xnb9",AMZN,"Amazon.com, Inc.",bullish,neutral,bullish
"and I did not call a ""squeeze"" tomorrow.  I have consistently and continuously said in all interviews and videos and posts that this is a $TSLA type set up per my work.  Powerful moves higher into my model's predicted ZOS followed by periods of rest.  Rinse, repeat.",TSLA,"Tesla, Inc.",bullish,neutral,bullish
The market reaction to NVDA earnings report is fascinating. #stocks,NVDA,NVIDIA Corporation,bearish,bullish,bearish
The market reaction to TSLA earnings report is fascinating. #stocks,TSLA,"Tesla, Inc.",bearish,bearish,bearish
"Tesla $293. Don’t let that scare you. It split 3-1. Congrats tesla shareholders we’ve got more shares. A Gordon, $20 move is now the new tesla tequila standard. $tsla",TSLA,"Tesla, Inc.",neutral,neutral,neutral
How much you want to bet SEC won’t investigate @Bloomberg for false earnings report info on $FB,META,"Meta Platforms, Inc.",neutral,neutral,neutral
"@menlobear @menlobear: ""A generous uncle says he'll send you $500k, but it can only be in 1 of the following forms:
1) cash
2) gold
3) Bitcoin
4) land
5) AAPL shares
6) any bond of your choice
Which do you pick &amp; why?""

Question: i
Is the generous uncle from Nigeria ? 😅",AAPL,Apple Inc.,neutral,neutral,neutral
The market reaction to NVDA earnings report is fascinating. #stocks,NVDA,NVIDIA Corporation,bearish,bearish,bearish
"Did you know you can invest in tokenised versions of @Google, @Amazon, @Tesla and more, directly in your Trust Wallet?

Read on 👇
https://t.co/eOdt3SReak",TSLA,"Tesla, Inc.",neutral,neutral,neutral
$TSLA underperforming markets once again.,TSLA,"Tesla, Inc.",neutral,bullish,neutral
The market reaction to AMD earnings report is fascinating. #stocks,AMD,"Advanced Micro Devices, Inc.",neutral,bearish,neutral
The market reaction to GOOGL earnings report is fascinating. #stocks,GOOGL,Alphabet Inc.,neutral,bearish,neutral
"Ford and GM have seen their stock prices rise based on false promises and media disinformation.

A number of large car companies will go bankrupt in 2023.

The government will not save them this time.

You’ll see…
$TSLA https://t.co/CYEVLAhxWD",TSLA,"Tesla, Inc.",bullish,bullish,bullish
Want green? Buy $TSLA 🚀🌕 https://t.co/wqIuRTuBRk,TSLA,"Tesla, Inc.",bullish,bullish,bullish
The #teslatakeover will highlight a panel of some of the most influential @tesla influencers. Get your tickets asap. https://t.co/nl04xgwl0d @GerberKawasaki https://t.co/Bn9u5AFbso,TSLA,"Tesla, Inc.",neutral,neutral,neutral
"I haven chosen to extend my contract with @TSM, you'll see me representing them as a content creator for another 2 years! https://t.co/5kEK9go0pO",TSM,Taiwan Semiconductor Manufacturing Company Limited,neutral,neutral,neutral
"🚨 𝑬𝒂𝒓𝒏𝒊𝒏𝒈𝒔 𝒏𝒆𝒙𝒕 𝒘𝒆𝒆𝒌 🚨

I’m watching 👀: $SQ $COIN $ZS $NU

Other notable earnings: $HD $ETSY $BABA $TDOC $PANW $RKT $MRNA $M $OPEN $EBAY $EDIT $TREE $ADSK $BYND $W and rest below. Market closed Monday. 

Partner 🔗 : @fincredibleAI 👇👇👇 https://t.co/Ra0zfFpY7a",ZS,"Zscaler, Inc.",neutral,neutral,neutral
The market reaction to META earnings report is fascinating. #stocks,META,"Meta Platforms, Inc.",bearish,bullish,bearish
"Michael Burry has $35M of $AAPL puts

Warren Buffett has $150B worth of $AAPL stock

Apple reports earnings today after the bell 😳",AAPL,Apple Inc.,neutral,neutral,neutral
"All luxury auto brands saw brand loyalty decline in recent years. 

The only exception? Tesla. In fact Tesla's brand loyalty was so strong S&amp;P called it ""an ominous sign"" for the rest of the industry. $TSLA @elonmusk https://t.co/NzJrPcCN7D",TSLA,"Tesla, Inc.",neutral,bearish,neutral
The market reaction to TSLA earnings report is fascinating. #stocks,TSLA,"Tesla, Inc.",bearish,bearish,bearish
"The two most compelling charts as a $TSLA bull:

1/ Unlike other growth names, $TSLA EPS continue to go straight up, with 2022 YTD EPS +37%, 2023 YTD EPS +33%.

2/ TSLA 2023 P/E is 50x, down from 95x at year-end and the same as it was in May 2020. 2022 P/E is 66x (vs 150x at YE). https://t.co/vkmVmgTB13",TSLA,"Tesla, Inc.",bullish,bullish,bullish
"DISNEY/PIXAR FILM ""LIGHTYEAR"" WILL NOT BE RELEASED IN 14 COUNTRIES - SOURCE

DISNEY/PIXAR PRODUCER SAYS SHE DOES NOT EXPECT MOVIE TO BE RELEASED IN CHINA
$DIS",DIS,The Walt Disney Company,neutral,neutral,neutral
"4/ $TSLA should move higher as analysts updates 2022 ests, and as instit PMs better understand the product priorities not presented. Clearly TSLA is winning in the marketplace. With global EV adoption soaring (2021 6.3%) TSLA continues to outrun its P/E, now 61x Street 2023 EPS. https://t.co/MiCvacFr78",TSLA,"Tesla, Inc.",bullish,neutral,bullish
$AAPL launches drivers license and state ID in Wallet with Arizona,AAPL,Apple Inc.,neutral,neutral,neutral
The market reaction to AMD earnings report is fascinating. #stocks,AMD,"Advanced Micro Devices, Inc.",bearish,neutral,bearish
"$CELH has now passed Red Bull as #2 Energy drink on AMZN behind Monster ($ share):
1. Monster 25.9%
2. Celsius 18.4%
3. Red Bull 15.5%

C-store locations +72% YoY, +23% QoQ https://t.co/p0D341aHBY",AMZN,"Amazon.com, Inc.",bullish,bullish,bullish
"In 2021, $TSLA remained flat while its earnings power and potential dectupled 🚀🌕",TSLA,"Tesla, Inc.",neutral,neutral,neutral
"Just super unfortunate for snake getting sick literally nothing he could do about it, TSM would be walking these teams with him rn",TSM,Taiwan Semiconductor Manufacturing Company Limited,neutral,neutral,neutral
Last week I sold 90% of my $TWTR at $49. Bought $TSLA with that.,TSLA,"Tesla, Inc.",neutral,neutral,neutral
"After what seems like an eternity, I'm finally an owner of a @Tesla M3! Thanks to everyone who's kept me informed, entertained, and a part of the Tesla family along the way. 
@garyblack00 @SawyerMerritt @squawksquare @SaraJAwesome @TeslaPodcast @DMC_Ryan @elonmusk @stevenmarkryan https://t.co/CBX0zzLxjz",TSLA,"Tesla, Inc.",neutral,neutral,neutral
"$TSLA being up on the day means one of two things:
- The bull market is far from over
- We are nowhere near a bottom

I don't know which one it is, though",TSLA,"Tesla, Inc.",bullish,bullish,bullish
"Facebook now trades at a P/E ratio of 16, the lowest in the history of the company. $FB

P/E ratios for other big tech companies...
$AMZN: 49x
$MSFT: 32x
$AAPL: 28x
$GOOGL: 25x

Data via @ycharts https://t.co/eHLFsEIdes",META,"Meta Platforms, Inc.",neutral,neutral,neutral
"I have it on good authority that there will be no red tomorrow! 😉

Unfortunately, that’s all I had today, not a single green position 😅

⬇️ $CRWD $AMZN $SHOP $SE $SQ $ABNB $APPS $MGNI $SOFI $UPST $LMND

Date night! 😊 Then we pour more concrete tomorrow 🥵

HAGW! ❤️🦜 https://t.co/dtFkhZ4mEW",MSFT,Microsoft Corporation,bullish,neutral,bullish
The market reaction to MSFT earnings report is fascinating. #stocks,MSFT,Microsoft Corporation,bullish,neutral,bullish
"Don't give up on your hope and dreams, but rather get lost in the process, bc by the time you know it, your dreams will become your reality.

Use me as living proof.

There's nothing special about me.

I'm just more disciplined than the average Joe.

$TSLA #Tesla",TSLA,"Tesla, Inc.",neutral,neutral,neutral
"$TSM er tomorrow, big for chips can go either way ..guidance most important IMO 
$JPM same story, but for banks 
$NFLX news today...pos short-term bottom around 165 , I don't like calling tops or bottoms though 
$MARA btc over 20k , I sold some 9c today. probably reenter 8.90 pt https://t.co/Se2yiD4yfX",NFLX,"Netflix, Inc.",neutral,neutral,neutral
$NFLX 🤣🤣🤣 https://t.co/WiVEpBF7kV,NFLX,"Netflix, Inc.",neutral,neutral,neutral
"Today, NIO launched its #ES7, with the first SUV application of AD imagined design, an immersive digital cabin experience, and our fastest SUV to date; 0-100km/h in 3.9s. https://t.co/dEWXxL2EGU #BlueSkyComing #ES7 #Glamping https://t.co/YJdFu7MOYg",NIO,NIO Inc.,neutral,neutral,neutral
The market reaction to AMD earnings report is fascinating. #stocks,AMD,"Advanced Micro Devices, Inc.",bearish,neutral,bearish
"@Sentinels @crazyraccoon406 @MisfitsGG @zetadivision @100Thieves @FaZeClan @KOI @TSM @OpTicTexas @NRGgg @G2esports @KarmineCorp The average amount of RT &amp; Likes, total RT &amp; Likes, and follower growth of the three largest gaming creator organisations.

Some creators found esports orgs, others found/join creator orgs. OTK, Sidemen and OTV's success must make esports orgs wonder about how to strategise.

4/7 https://t.co/6fom4ne2Cu",TSM,Taiwan Semiconductor Manufacturing Company Limited,bullish,neutral,bullish
"JUST FINISHED BUILDING THIS BADDY 🤩 

#Safex #xMooney #Ravencoin #RX6600XT @AMD @AMDRyzen @NiceHashMining @ApeviaCorp @CrucialMemory @PowerColor #Miner #Crypto #Cryptominer https://t.co/XjSvDnSziS",AMD,"Advanced Micro Devices, Inc.",neutral,neutral,neutral
"🔥3 Dividend Stocks For Investors In Their 20's🔥

1. $AAPL Cash flow machine with tons of growth to come. 
2. $JNJ Pristine balance sheet and a payout ratio only 43%. 
3. $V Only a 0.70% yield now, but all kinds of economic moat and a bigger yield coming.

What would you add?",AAPL,Apple Inc.,bullish,neutral,bullish
"yep, quad motor… $tsla 
@elonmusk https://t.co/IkKIvxoMTb",TSLA,"Tesla, Inc.",neutral,neutral,neutral
"Every legacy OEM blames their falling sales on the chip shortage. Well, Tesla and @elonmusk dealt with all the same supply chain, commodity and political headwinds and still grew EV sales somehow. 

We don’t have a chip shortage. We have a competence shortage. $TSLA",TSLA,"Tesla, Inc.",bullish,bearish,bullish
"Options on $AMZN POST SPLIT 

🍿🍿🍿🍿🍿🍿🍿",PG,Procter & Gamble Company,neutral,neutral,neutral
The market reaction to META earnings report is fascinating. #stocks,META,"Meta Platforms, Inc.",bullish,bearish,bullish
"Rip FAANG.

We’re down to GAA(!), which is coincidentally the sound $fb and $nflx shareholders make when they see their brokerage statements.",META,"Meta Platforms, Inc.",bearish,neutral,bearish
Starting February with our #LCS debut and a week full of #TSMWIN https://t.co/pQ7fAn1hBQ,TSM,Taiwan Semiconductor Manufacturing Company Limited,neutral,neutral,neutral
The market reaction to AMD earnings report is fascinating. #stocks,AMD,"Advanced Micro Devices, Inc.",bullish,bearish,bullish
Accident happened Saturday. $TSLA was not given any access to the accidentés car so far. Police investigation so far. Decision to suspend the fleet was just taken a couple of hours ago. TSLA ´s bullshit denial is based on remote data analysis. 7 severely wounded. 3 v critical https://t.co/vdtjVp7wfn https://t.co/85qkLRIsYq,TSLA,"Tesla, Inc.",bullish,bullish,bullish
There are only 4 countries in the world with larger GDP than Apple's market cap. 🤷‍♂️ $AAPL,AAPL,Apple Inc.,neutral,neutral,neutral
#TeamAlgonaut lend me your strength for $BA everyone like break TWITTER❤️ https://t.co/yZxBcDbxcB,BA,The Boeing Company,neutral,neutral,neutral
"$NIO park opening late 2022. 1,000,000 annual output. So in 2023 they could be selling 40,000-83,000 cars per month plus current facility. Its not about today or tomorrow. Its about future growth, expansion and the EV industry growing at an astronomical pace. Long @NIOGlobal https://t.co/ficzSbkE1B",NIO,NIO Inc.,bullish,bearish,bullish
"I think $TSLA split and dividend is gimmicky. 

Has the company stopped growing? 

What’s their FCF and finance situation like? 

I would think this is actually bad for stock but we will see if we close below 1060, I am out. 

Now 1075.",TSLA,"Tesla, Inc.",neutral,neutral,neutral
@MinimalDuck @Tesla @Gfilche @WholeMarsBlog Tunnels …,TSLA,"Tesla, Inc.",neutral,neutral,neutral
"Now, how many of you all of a sudden had $AMZN calls for overnight?😄",MSFT,Microsoft Corporation,neutral,neutral,neutral
Why did $TSLA just fall about $4. I stepped away and all of a sudden it's down from $919.,TSLA,"Tesla, Inc.",bearish,bearish,bearish
"Elon is done selling. 
I am done waiting,
Let's go flying, 
Flying high Flying. 

Wow, I am a good poet, ain't I? 

$TSLA",TSLA,"Tesla, Inc.",bearish,bearish,bearish
"https://t.co/zInUkZsmHp - Sandy Munro LOSING IT Over Tesla Engineering: “To Die For”

NEW

$TSLA #Tesla @Tesla #TeslaStock #TeslaEngineering #SandyMunro https://t.co/jK4apZTtXx",TSLA,"Tesla, Inc.",neutral,neutral,neutral
"Returns over the last 10 Years:

Bitcoin $BTC: +994,608%
Tesla $TSLA: +15,200%
NVIDIA $NVDA: +6,053%
Netflix $NFLX: +2,337%
Amazon $AMZN: +1,427%
Apple $AAPL: +1,112%
S&amp;P 500 $SPY: +344%
Bonds $AGG: +35%
Gold $GLD: -6%

@PeterSchiff literally picked the worst performing asset.",NFLX,"Netflix, Inc.",neutral,neutral,neutral
"Production &amp; Delivery report tomorrow morning, prob before noon eastern time.

Bear case = 255k deliveries

Base case = 260k deliveries

Bull case = 265k deliveries 

🐇🎩 = 270k+ deliveries

🤞

$TSLA",TSLA,"Tesla, Inc.",neutral,bearish,neutral
The market reaction to AMZN earnings report is fascinating. #stocks,AMZN,"Amazon.com, Inc.",neutral,neutral,neutral
"Year-to-Date Performance:

1. $FB: -43%
2. $AMZN: -30%
3. $AAPL: -20%
4. $NFLX: -67%
5. $GOOGL: -19%
6. $MSFT: -19%
7. $TSLA: -38%

Names that led the market higher for the last 10 years continue to drop further into bear market territory.

How is $SPX only down 15% year-to-date?",AMZN,"Amazon.com, Inc.",bearish,bearish,bearish
The market reaction to AMD earnings report is fascinating. #stocks,AMD,"Advanced Micro Devices, Inc.",neutral,bullish,neutral
"WHAT IS THE SAFE WORD?! 🛑 ✋ 
$TSLA",TSLA,"Tesla, Inc.",neutral,neutral,neutral
"Here's the intro of today's #MarketOutlook video from 
@MarketScholars 

Watch the full video for free here:

https://t.co/3GqUqql8DS

Mentioned: $SPY $SPX $QQQ $IWM $RUT $UUP $TLT $TNX $HYG $EEM $EFA $USO $BNDX $META $AMZN $FB $APD $FTNT $XOM $HD $LOW $SBUX $COST $MRNA $RCL $MDT https://t.co/8ceJ4An9Jg",PG,Procter & Gamble Company,neutral,neutral,neutral
"$u It’s still not clear to me that the general investor population is aware that Unity is the engine that $fb horizon is built upon.

After $fb name change to meta platforms I think it’s reasonable to assume that $u will not only surpass $rblx valuation but eventually double it.",META,"Meta Platforms, Inc.",neutral,neutral,neutral
One of life's great mysteries is why Apple went for $AAPL and not $APPL,AAPL,Apple Inc.,neutral,neutral,neutral
"I’m heartbroken to hear that wait times for Tesla orders are decreasing as production increases and macro conditions worsen. 

Waiting a year for your car was always the best part of buying a Tesla. I’m worried no one will want one now. @elonmusk $TSLA",TSLA,"Tesla, Inc.",bullish,bullish,bullish
"⚠️ BREAKING! ⚠️ 

I AM OFFICIALLY A SPACEX INVESTOR! 🚀 

Shoutout to everyone that has supported me. 🔊 

You know who you are! 🙏

Never give up! 💪

$TSLA #Tesla https://t.co/JMEhouYEdG",TSLA,"Tesla, Inc.",bullish,bullish,bullish
Just a reminder. He's already started cashing out. $TSLA https://t.co/FZ5tYvDQf4,TSLA,"Tesla, Inc.",neutral,neutral,neutral
"Fremont will build and sell over 20k S/X this quarter.

$TSLA https://t.co/aX18tOmiDA",TSLA,"Tesla, Inc.",bearish,bearish,bearish
"Best in class (after your feedback):

Semiconductors $NVDA $ASML $TSM
E-commerce $AMZN $SHOP $BABA
Cybersecurity $CRWD $PANW $S
Streaming $DIS $ROKU $SPOT
Fintech $SQ $UPST $COIN
Metaverse $FB $U $RBLX
Big Data $PLTR $SNOW
EVs $TSLA $NIO $RIVN
Ad-tech $GOOG $TTD

Changes? 🧠 👇",DIS,The Walt Disney Company,bullish,bullish,bullish
@FthePump1 @Rivian @TeslaClubSoCal @Tesla It’s just a picture snapped during the transition to Back To The Future mode. https://t.co/I8nnpmXl3x,TSLA,"Tesla, Inc.",neutral,neutral,neutral
The activity that I'm seeing in $FB makes me a very interested party because these overreactions.,META,"Meta Platforms, Inc.",neutral,neutral,neutral
"Goodyear, $GT, launches new tire optimized for $TSLA and other electric cars.",TSLA,"Tesla, Inc.",neutral,neutral,neutral
"Call them the ‘Super Sellers.’ 

Some high-profile CEOs have been furiously selling stock. @robtfrank reports $MSFT $TSLA https://t.co/gC9k6linx1",TSLA,"Tesla, Inc.",bullish,bullish,bullish
"In his press conference, Powell said inflation has grown marginally worse since the last Fed meeting, which has kicked NDX into negative territory, taking $tsla down with it. https://t.co/4tSX0hrXWS",TSLA,"Tesla, Inc.",bearish,bearish,bearish
"All charts posted for the weekend. 

Posted charts on Friday, Saturday, &amp; tonight. Scroll through my twitter feed to check them out. 

Posted:
$SPY
$QQQ
$BTC
$ETH
$TSLA
$SQ
$PLTR
$ARKK
$SOFI
$AMZN
$GOOG
$AAPL
$MSFT
$AMD
$APPS
$META
$DIS
$PLTR
$XOM
$CVX
#Solana 
$PYPL
$GLD",PG,Procter & Gamble Company,neutral,neutral,neutral
